Graph Size,Edge Cuts
50,250
100,1115
150,2560
200,4720
250,7384
50,267
100,1051
150,2577
200,4638
250,7326
50,252
100,1156
150,2542
200,4707
250,7247
50,252
100,1139
150,2541
200,4598
250,7218
50,271
100,1127
150,2560
200,4728
250,7273
50,259
100,1169
150,2558
200,4733
250,7295
50,248
100,1077
150,2586
200,4669
250,7299
50,275
100,1178
150,2651
200,4671
250,7392
