Number of Partitions,Edge Cuts
2,6751
3,8970
4,10089
5,10746
2,6695
3,8932
4,10180
5,10697
2,6673
3,8906
4,10062
5,10802
2,6744
3,8919
4,10024
5,10690
2,6667
3,9010
4,10045
5,10755
2,6655
3,9053
4,10118
5,10805
2,6603
3,8984
4,9970
5,10790
2,6684
3,8832
4,10044
5,10715
2,6804
3,9143
4,10223
5,10862
2,6715
3,9106
4,10218
5,10877
2,6717
3,8844
4,10030
5,10788
2,6882
3,9195
4,10295
5,10990
2,6720
3,9005
4,10089
5,10793
2,6658
3,8859
4,9866
5,10588
